loss,accuracy,val_loss,val_accuracy
0.053777631372213364,0.9806050658226013,0.057378437370061874,0.9884971976280212
0.05294281616806984,0.9830178022384644,0.05285478010773659,0.9870129823684692
0.056716784834861755,0.9802338480949402,0.05685264989733696,0.9870129823684692
0.04867164045572281,0.9839457869529724,0.059283606708049774,0.9855287671089172
0.05149184167385101,0.9823682308197021,0.06045370176434517,0.9862708449363708
0.049264613538980484,0.9844098091125488,0.05391251668334007,0.9884971976280212
0.04979795217514038,0.9832962155342102,0.05728863924741745,0.987384021282196
0.0497715137898922,0.9846882224082947,0.05700954049825668,0.9866419434547424
0.046466533094644547,0.9855234026908875,0.05510430410504341,0.987384021282196
0.0531722754240036,0.9828321933746338,0.05238320678472519,0.9877551198005676
0.058198750019073486,0.9825538396835327,0.04891536757349968,0.989981472492218
0.05660371109843254,0.9819042086601257,0.05523509904742241,0.9862708449363708
0.05036962404847145,0.9852449893951416,0.05648484826087952,0.9877551198005676
0.04923960939049721,0.9837601780891418,0.05538537725806236,0.9877551198005676
0.04622830078005791,0.9858017563819885,0.052221253514289856,0.985899806022644
0.05048471689224243,0.9842242002487183,0.05893427133560181,0.985899806022644
0.04622103273868561,0.9851521849632263,0.047806307673454285,0.9877551198005676
0.05160251259803772,0.9823682308197021,0.05757603794336319,0.9851577281951904
0.04692383110523224,0.9859873652458191,0.05295826122164726,0.9870129823684692
0.049550075083971024,0.9838529825210571,0.05847886577248573,0.9866419434547424
0.048443738371133804,0.985059380531311,0.05921836569905281,0.9862708449363708
0.0516456663608551,0.9824610352516174,0.052527736872434616,0.9870129823684692
0.0463196337223053,0.984131395816803,0.054142314940690994,0.9877551198005676
0.048061396926641464,0.9858017563819885,0.055753882974386215,0.9877551198005676
0.04582931846380234,0.9844098091125488,0.05663923919200897,0.985899806022644
0.044675666838884354,0.9855234026908875,0.053493961691856384,0.9877551198005676
0.04350532963871956,0.9866369962692261,0.051731325685977936,0.9866419434547424
0.05109661445021629,0.9832962155342102,0.054685868322849274,0.9866419434547424
0.04658646136522293,0.9856162071228027,0.0534835122525692,0.9862708449363708
0.044608935713768005,0.9843170046806335,0.04750456288456917,0.9884971976280212
0.04512892663478851,0.9856162071228027,0.05626818165183067,0.9862708449363708
0.046650249511003494,0.9847809672355652,0.0588696151971817,0.9851577281951904
0.044090233743190765,0.9860801696777344,0.05608358979225159,0.984415590763092
0.041116971522569656,0.9863585829734802,0.05240035802125931,0.9870129823684692
0.04137596860527992,0.9866369962692261,0.054562970995903015,0.9877551198005676
0.04434412345290184,0.9844098091125488,0.05229198932647705,0.9881261587142944
0.044706545770168304,0.9858945608139038,0.05530169978737831,0.9888682961463928
0.045452527701854706,0.9846882224082947,0.04723688215017319,0.9892393350601196
0.03953978046774864,0.9868225455284119,0.05568476766347885,0.9870129823684692
0.04070046544075012,0.9871009588241577,0.05180403217673302,0.9855287671089172
0.04231124371290207,0.9863585829734802,0.05486667528748512,0.987384021282196
0.04360323026776314,0.9858945608139038,0.05107494443655014,0.987384021282196
0.04018716141581535,0.9872865676879883,0.0496111698448658,0.9892393350601196
0.03775591775774956,0.9882145524024963,0.05105822905898094,0.9866419434547424
0.041922420263290405,0.9855234026908875,0.049580227583646774,0.9884971976280212
0.04167800024151802,0.9867297410964966,0.05236966907978058,0.9877551198005676
0.044722769409418106,0.9853377938270569,0.05216944217681885,0.9892393350601196
0.0409628264605999,0.9868225455284119,0.05193321034312248,0.987384021282196
0.037735115736722946,0.9876577854156494,0.051089413464069366,0.9892393350601196
0.04071654751896858,0.9873793721199036,0.05364568531513214,0.9881261587142944
0.03918440639972687,0.9872865676879883,0.0491165928542614,0.9896103739738464
0.0411989688873291,0.9863585829734802,0.04935954511165619,0.9862708449363708
0.032209690660238266,0.9888641238212585,0.04740133881568909,0.9888682961463928
0.0383903868496418,0.9860801696777344,0.05466344952583313,0.9888682961463928
0.03923102840781212,0.9867297410964966,0.0574425533413887,0.9862708449363708
0.03857486695051193,0.9873793721199036,0.05169731378555298,0.9881261587142944
0.03730565309524536,0.9874721765518188,0.05919783562421799,0.9881261587142944
0.041237566620111465,0.985709011554718,0.05068500339984894,0.9888682961463928
